Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
Karasi Bayu,Karasi,0,0,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,20,2.5,200,6,TIDAK LAYAK
Timika Bawang Goreng,Bawang Goreng,0,0,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,25,10,100,5,TIDAK LAYAK
Jahe Merah Al Buthuuni,Jahe Merah,0,0,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,10,5,100,4,TIDAK LAYAK
AHA,AHA,7.225,20,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %,10,8,500,22,TIDAK LAYAK
CV Deco,Jasa Konsultan,1.000,750,13,CV,Pertanian. Kehutanan Dan Perikanan,Ritel dan Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,10,0,800,22,LAYAK
Aldi Putra Benur,Mini Hatchery,281,140,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,10,0,0,18,TIDAK LAYAK
Opik Benur,Mini Hatchery,52,100,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,30,0,0,12,TIDAK LAYAK
Dua Karya Benur,Mini Hatchery,137,200,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,30,0,0,9,TIDAK LAYAK
ARRAHMAH BELUT,Budidaya,58.5,60,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,18,4,10,9,TIDAK LAYAK
TOKO ANUGERAH BERSERI,SAPRODI,35.5,48,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %,5,10,100,6,TIDAK LAYAK
Usaha Burung Walet,Petani,112.5,12,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100.00 %,10,8,200,7,TIDAK LAYAK
Usaha Tani Sujar,Coklat,55,24,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,10,4,55,7,TIDAK LAYAK
Tani Fajar,Sayur,25,12,0,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,5,5,25,7,TIDAK LAYAK
Bastiam,Ikan,300,1080,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,150,300,3,LAYAK
Nelayan Akbar,Ikan,54,504,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,24,54,6,LAYAK
Petani Pala Matias,Biji Pala,175,88,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,175,6,TIDAK LAYAK
Petani Pala Petrus,Pala,200,160,9,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,200,200,7,TIDAK LAYAK
Nelayan Ramli,Ikan,115,130,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,115,6,TIDAK LAYAK
Kios Praktis,Sembako,302,150,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,15,302,8,TIDAK LAYAK
Nelayan Abu,Ikan,200,600,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,200,200,8,LAYAK
Petani Pala,Biji Pala,160,50,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,5,160,6,TIDAK LAYAK
Petani Pala Hendrikus,Pala,402,360,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,70,402,6,LAYAK
Nelayan Abari,Ikan,119,180,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,119,5,TIDAK LAYAK
Nelayan Parisu,Ikan,18,210,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,18,6,TIDAK LAYAK
Kelompok Gam,Sayur Mayur,132,144,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,132,5,TIDAK LAYAK
Petani Pala Paskalis,Pala,130,26,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,5,130,6,TIDAK LAYAK
Nelayan Jakaria,Ikan,271,108,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,271,6,TIDAK LAYAK
Kelompok Kenawa,Ikan,1520.1,360,5,Lainnya,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,30,1520.1,7,TIDAK LAYAK
Pengusaha Sayur,Sayur,170,84,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,170,6,TIDAK LAYAK
Nelayan Ikan Andika,Ikan,340,204,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 75 %,0,25,340,7,TIDAK LAYAK
Petani Pala Agustinus Wouw,Pala,210,147,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,10,210,6,TIDAK LAYAK
Nelayan Abdul,Ikan,100,600,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,100,9,LAYAK
Rahmatia Lethulur,Ikan,250,162,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,4,250,5,TIDAK LAYAK
Nelayan,Ikan,50,155,46,Perorangan,Pertanian. Kehutanan Dan Perikanan,Perorangan,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,50,5,TIDAK LAYAK
Petani Pala Wagab,Pala,110,343,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,110,6,LAYAK
Nelayan Sudarto,Ikan,60,240,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,60,5,TIDAK LAYAK
Darma,Manisan Pala,8000,18,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,8000,7,TIDAK LAYAK
Petani Pala Yohanes,Pala,1000,21,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,1000,8,TIDAK LAYAK
Petani Pala Abraham,Pala,8000,23,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,8000,7,TIDAK LAYAK
Petani Pala Imelda,Biji Pala,1000,28,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,1000,6,TIDAK LAYAK
Pangkas Rambut,Potong Rambut,40,96,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,40,5,TIDAK LAYAK
Nelayan Kale,Ikan,7,155,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,7,5,TIDAK LAYAK
Kios Kupang,Sembako,200,84,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,70,200,8,TIDAK LAYAK
Strobo Photowork,Fotografi,590,384,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,30,590,6,LAYAK
Pedagang Sayur,Sayur Mayur,500,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,500,4,TIDAK LAYAK
Kios Suba,Sembako,1000,108,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,1000,7,TIDAK LAYAK
Abraham Galon,Air Galon,400,80,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,5,400,9,TIDAK LAYAK
Kios Alfian,Manisan Dan Sirup Pala,200,150,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,200,7,TIDAK LAYAK
Sabogaur (Jolor),Hasil Laut,200,650,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,200,200,10,LAYAK
Nelayan Muis,Udang,50,150,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,50,50,7,TIDAK LAYAK
Jamaludin,Udang,15,55,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,15,6,TIDAK LAYAK
Nelayan Guntur,Kepiting Dan Ikan,10,119,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,50,10,5,TIDAK LAYAK
Pembibitan Ikan Mupin,Pembibitan Ikan,120,240,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,120,5,TIDAK LAYAK
Budidaya Salak,Salak,175,90,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,175,7,TIDAK LAYAK
Bididaya Semangka,Semangka,153,180,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,85,153,7,TIDAK LAYAK
Budidaya Buah Pak Yohari,Buah-Buahan,305,240,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,305,5,TIDAK LAYAK
Ayam Petelor Idin,Telor,185,130,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,185,7,TIDAK LAYAK
Warung Febri,Perdangangan,215,300,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,48,215,7,LAYAK
Usaha Ikan Ibu Tri,Ikan,653,828,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,700,653,9,LAYAK
Toko Cahaya Tani,Pupuk Subsidi,218,1200,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,45,218,6,LAYAK
Tani Lumbaja,Bawang Merah,358,50,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,27,358,8,TIDAK LAYAK
Bawang Merah Safri,Bawang Merah,122,65,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,40,122,8,TIDAK LAYAK
Tani Lumbaja,Bawang Merah,158,46,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,45,158,8,TIDAK LAYAK
Tunas Muda,Bawang Merah,215,51,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,0,215,11,TIDAK LAYAK
Pekalobean Bawang Merah,Bawang Merah,158,105,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,48,158,8,TIDAK LAYAK
Muhajir Tani Bawang,Bawang Merah,133,93,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,0,133,8,TIDAK LAYAK
Bawang Merah,Bawang Merah,215,68,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,51,215,9,TIDAK LAYAK
Agus Lumbaja Bawang,Bawang Merah,380,56,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,40,380,8,TIDAK LAYAK
Bawang Merah Abbas,Bawang Merah,267,52,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,34,267,9,TIDAK LAYAK
Nurmin Tani Bawang,Bawang Merah,258,60,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,32,258,8,TIDAK LAYAK
Bawang Merah Seli,Bawang Merah,276,50,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,17,276,9,TIDAK LAYAK
Kadir Bawang,Bawang Merah,406,96,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,64,406,9,TIDAK LAYAK
Rawasi Bawang Merah,Bawang Merah,368,95,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,51,368,9,TIDAK LAYAK
Ternak Sapi Karrang,Sapi,33,30,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,24,282,9,TIDAK LAYAK
Sayuran Safri,Sayuran,282,42,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,24,282,9,TIDAK LAYAK
Ternak Ayam Pak Wen,Ayam Pedaging,2242,730,8,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,200,2242,7,LAYAK
Ternak Ayam Bu Rika,Ayam Pedaging,1280,1100,12,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,200,1280,8,LAYAK
Nelayan Pak Muktar,Ikan,50,144,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,50,6,TIDAK LAYAK
Nelayan Togok Darusi,Udang Rebon,180,108,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,180,5,TIDAK LAYAK
Nelayan Togok Pak Ngara,Udang Rebon,130,113,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,130,6,TIDAK LAYAK
Petani Cabe Pak Koko,Cabe Merah,16,128,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,16,6,TIDAK LAYAK
Petani Cabai Pak Yudi,Cabai Merah,120,128,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,20,120,7,TIDAK LAYAK
Petani Cabai Pak Budi,Cabai Merah,230,240,10,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,20,120,7,TIDAK LAYAK
Petani Cabai Merah Pak Siswanto,Cabai Merah,10,240,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,10,6,TIDAK LAYAK
Petani Cabai Merah Pak Kailani,Cabai Merah,40,240,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,40,6,TIDAK LAYAK
Petani Cabai Merah Pak Arif,Cabai Merah,220,240,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,220,6,TIDAK LAYAK
Petani Cabai Merah Pak Ilkham,Cabai Merah,432,442,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,80,432,4,LAYAK
Zahra Collection,Pakaian,165,72,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,165,7,TIDAK LAYAK
Kambing Sapi Qurban,Kambing,14,10,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,90,14,3,TIDAK LAYAK
Toko Wisma Diana,Makanan Dan Minuman,32,60,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,14,32,2,TIDAK LAYAK
Budidaya Lele,Lele,200,60,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,36,200,3,TIDAK LAYAK
Perkebunan Pak Anam,Pepaya,100,144,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,52,100,3,TIDAK LAYAK
Perkebunan Pak Syarif,Sayur-Sayuran,200,180,5,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,85,200,4,TIDAK LAYAK
Perkebunan Pak Slamet,Pepaya,20,96,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,45,20,4,TIDAK LAYAK
Bawang Syamsuddin,Bawang Merah,530,280,7,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,25,530,8,TIDAK LAYAK
Kopi Omar,Kopi,60,15,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,60,7,TIDAK LAYAK
Kopi Syamsuddin,Kopi,120,9,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,120,7,TIDAK LAYAK
Sayur Siron,Kubis/Kol,310,120,8,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,8,310,6,TIDAK LAYAK
Bawang Anwar,Bawang Merah,310,420,11,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,27,310,5,LAYAK
Suardi Bawang,Bawang,203,132,11,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,24,203,6,TIDAK LAYAK
Saleh Bawang,Bawang Merah,520,820,11,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %,0,43,520,8,LAYAK
Suka Maju,Kambing Etawa,230,126,22,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,200,230,2,TIDAK LAYAK
Daya Mekar,Ikan Nila,300,316,15,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,80,300,8,LAYAK
Mekar Sari,Ikan Nila,230,369,16,Lainnya,Pertanian. Kehutanan Dan Perikanan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,150,230,7,LAYAK
Tambak Lele,Lele,157,83,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,15,157,8,TIDAK LAYAK
Kue Darma Rini,Kerupuk Dan Martabak,558,518,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,558,9,LAYAK
Peternak Ayam,Ayam,380,522,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 30 %,0,53,380,8,LAYAK
Perkebunan Lada Saifullah,Lada,200,223,8,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,90,200,5,TIDAK LAYAK
Kebun Tatik,Sahang,290,230,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,290,5,TIDAK LAYAK
Darman Las,Rehap Mobil,362,200,6,Perorangan,Pertanian. Kehutanan Dan Perikanan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,64,362,6,TIDAK LAYAK
